CS:GO afro,FNC @ GL, Mon 1:30PM,13.0 Headshots on Maps 1+2
CS:GO KRIMZ,FNC @ GL, Mon 1:30PM,34.5 Kills on Map 1+2
CS:GO KRIMZ,FNC @ GL, Mon 1:30PM,15.0 Headshots on Maps 1+2
CS:GO mezii,FNC @ GL, Mon 1:30PM,37.5 Kills on Map 1+2
CS:GO mezii,FNC @ GL, Mon 1:30PM,20.0 Headshots on Maps 1+2
CS:GO roeJ,FNC @ GL, Mon 1:30PM,36.0 Kills on Map 1+2
CS:GO roeJ,FNC @ GL, Mon 1:30PM,19.0 Headshots on Maps 1+2
CS:GO Keoz,GL vs FNC, Mon 1:30PM,31.5 Kills on Map 1+2
CS:GO Keoz,GL vs FNC, Mon 1:30PM,18.0 Headshots on Maps 1+2
CS:GO acoR,GL vs FNC, Mon 1:30PM,36.0 Kills on Map 1+2
CS:GO acoR,GL vs FNC, Mon 1:30PM,12.0 Headshots on Maps 1+2
CS:GO volt,GL vs FNC, Mon 1:30PM,34.0 Kills on Map 1+2
CS:GO volt,GL vs FNC, Mon 1:30PM,16.5 Headshots on Maps 1+2
CS:GO isak,GL vs FNC, Mon 1:30PM,31.5 Kills on Map 1+2
CS:GO isak,GL vs FNC, Mon 1:30PM,16.0 Headshots on Maps 1+2
CS:GO neaLaN,GL vs FNC, Mon 1:30PM,31.0 Kills on Map 1+2
CS:GO neaLaN,GL vs FNC, Mon 1:30PM,16.5 Headshots on Maps 1+2
CS:GO Perfecto,C9 @ MONT, Mon 1:30PM,33.5 Kills on Map 1+2
CS:GO Perfecto,C9 @ MONT, Mon 1:30PM,15.0 Headshots on Maps 1+2
CS:GO Hobbit,C9 @ MONT, Mon 1:30PM,35.5 Kills on Map 1+2
CS:GO Hobbit,C9 @ MONT, Mon 1:30PM,17.0 Headshots on Maps 1+2
CS:GO sh1ro,C9 @ MONT, Mon 1:30PM,41.0 Kills on Map 1+2
CS:GO sh1ro,C9 @ MONT, Mon 1:30PM,12.5 Headshots on Maps 1+2
CS:GO electronic,C9 @ MONT, Mon 1:30PM,36.0 Kills on Map 1+2
CS:GO electronic,C9 @ MONT, Mon 1:30PM,17.0 Headshots on Maps 1+2
CS:GO buster,C9 @ MONT, Mon 1:30PM,30.5 Kills on Map 1+2
CS:GO buster,C9 @ MONT, Mon 1:30PM,14.0 Headshots on Maps 1+2
CS:GO br0,MONT vs C9, Mon 1:30PM,35.5 Kills on Map 1+2
CS:GO br0,MONT vs C9, Mon 1:30PM,19.5 Headshots on Maps 1+2
CS:GO Woro2k,MONT vs C9, Mon 1:30PM,38.0 Kills on Map 1+2
CS:GO Woro2k,MONT vs C9, Mon 1:30PM,12.5 Headshots on Maps 1+2
CS:GO DemQQ,MONT vs C9, Mon 1:30PM,33.5 Kills on Map 1+2
CS:GO DemQQ,MONT vs C9, Mon 1:30PM,17.5 Headshots on Maps 1+2
CS:GO sdy,MONT vs C9, Mon 1:30PM,36.0 Kills on Map 1+2
CS:GO sdy,MONT vs C9, Mon 1:30PM,17.0 Headshots on Maps 1+2
CS:GO kRaSnaL,MONT vs C9, Mon 1:30PM,33.0 Kills on Map 1+2
CS:GO kRaSnaL,MONT vs C9, Mon 1:30PM,15.0 Headshots on Maps 1+2
LoL: Rooster,HLEc @ DRXc, Mon 1:00AM,4.5 Kills on Map 1+2
LoL: Roamer,HLEc @ DRXc, Mon 1:00AM,6.0 Kills on Map 1+2
LoL: Duro,HLEc @ DRXc, Mon 1:00AM,1.0 Kills on Map 1+2
